"title","descrip","LiuyanType","answer","detail","type"
"占卜其实并不是迷信","占卜并非迷信，它在一定范围内是可信的。这个范围取决于占卜师自身和占卜方式。占卜流传了几千年，从古至今都有许多信奉者，这就是占卜可信的明证。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	<h2><strong>【占卜是什么？】</strong></h2>\n从字源的角度上看，“卜”是龟腹板或其它骨板经过烧灼而形成的用来预言事物的裂纹的象形。商周时期，古人有在龟腹板或其它骨板上钻孔并灼烧，看灼烧产生的裂纹来预测一些事情的行为。所谓甲骨文，就是在这样的骨板上刻下的文字，一般是占卜的内容和正误。“占”字是在“卜”的下面加一个“口”，本义是“问卜”，即提出需要占卜的问题，进行占卜的行为。在汉语语境中，所谓占卜，就是指通过某些特定的，带有神秘色彩的超自然认知方式获知自己靠已知自然规律无法认识的内容的行为，主要是指超自然的预言行为。一般而言，在中国流传的占卜，最常见的一种是利用蓍草、五铢钱等工具，进行一种有64种等概率可能性的操作，这样再对照《周易》，就得到了《周易》里边“六十四卦”中的一个“卦”（实际操作中有约82%的概率还会同时得到一个不一样的“变卦”），再对照《易经》中对每个卦的解释，实现超自然的认知行为。当然，除此以外，还有些像相面、拆字、塔罗牌一类的形形色色的各式占卜活动。 <br>\n <br>\n<h2><strong>【占卜科学吗？】</strong></h2>\n“科学”是一种认识方式，而不是像很多人理解的那样，是一些具体结论的集合，乃至是一些具体工具的集合。“科学”所包含的认识原则中，很重要的一条，就叫“可证伪性原则”，就是说，一切“科学的”理论，都是“建立在有限的观察基础上，具有客观、逻辑、实证、可重复检验等特性”的。譬如说爱因斯坦的质能公式就是科学，这并不是因为它是爱因斯坦提出的，而是因为它在理论上讲是可以证伪的。任何一个人，哪怕是个小学生，只要利用规范的科学实验流程，凭借符合可重复性要求的实验和严密的逻辑推导推翻这个结论，都可以把伟大的爱因斯坦的话打得粉碎。但是另一些东西则是未必可以证伪的。比如说，我说我有预言的能力，但是天机不可泄露，泄露必遭天谴；定数不可扭转，人力难悖天意。这时“我会预言”这个事情就已经没有被证明为伪的机会了，这就不是科学。 <br>\n<br>\n占卜正是不可以证伪的典型。有这样一个小故事。一个算命人的徒弟第一天开张。有一个人来找这个徒弟算命，算那个人的父亲的病情是否可以得到好转。徒弟占了一卦，是“泰”卦。我们都知道有个成语叫“否极泰来”，还有个成语叫“三阳开泰”，“泰”是很好的一个卦。徒弟说，这个父亲一定会痊愈的。结果那个人兴高采烈地回答家里，却发现父亲已经病死了。他生气地回来指责那个徒弟。徒弟的师傅赶紧出来，批评徒弟对卦解释得不对。原来“泰”卦的卦形是“乾下坤上”，“乾”可以表示父亲，“坤”是土，这个卦的意思是父亲埋进了土里，是说他会死的意思。 <br>\n<br>\n事实上根据《易传》中的记录，解卦也是有一定的“理论”存在的，并不会像上面的故事里讲得那么简单。但是上面的故事却点明了占卜的最大特点：不可证伪。事实上，《易经》中对各卦的解释无一例外都非常含混，对每一个件事情，从同样的词句里都可以得出完全不同的解释。一切的预言失败，都可以解释为占卜人个人水平的问题，而与《周易》是否准确无关。这样的理论是永远都不可能从逻辑上证明其为假的，所以它永远都不可能是科学。 <br>\n<br>\n《周易》以外的占卜行为也具有类似的特点。比如说塔罗牌，就会告诉你一堆非常主观的结论。比如它告诉你你喜欢接受新鲜事物。怎么叫喜欢，怎么叫不喜欢，有没有一定的量化标准呢？没有的话，我如何证明塔罗牌宣布某个人喜欢接受新鲜事物这个结论一定错了？既然做不到，那么这个理论就是不可以证伪的，也就谈不上科学了。 <br>\n <br>\n<h2><strong>【不科学就一定是错误的吗？】</strong></h2>\n科学是一种认识方式。由于占卜本身的不可证伪性，我们没有办法说占卜一定是对的，或者是错的，而只能宣布它是不科学的。但是，逻辑上讲，作为一种不可以被证伪的理论，它的可信度跟我刚才提到的我有预言的能力的可信度是一样的，都不可能被证明是假的、错的。 <br>\n<br>\n也许有人会说，《周易》啊啥的这些东西，这是我们中华民族伟大瑰宝，是圣人提出来的，几千年来无数人信奉过。但是很遗憾，上面所有这些“理由”，从逻辑上说，都跟它是否正确没有应然的逻辑关系。比如说人类信仰大地宏观上是个平面的历史远远要比这些占卜术要久，可是这并不妨碍我们今天认识到地球是球体的。对此，已经有罗素的茶壶、车库里的喷火龙等生动切近的例子说明这种随意的行为多么无法接受。 <br>\n<br>\n因为不了解的事物总是有很多的，应该说未知的世界总有巨大的可能性，通过一步步地探索，绝大部分可能性会被排除掉，而剩下极少数作为人类认识世界的阶段性规律沉淀下来。这是一个正向的过程。而非像占卜、相面、星座等，逆向地，在可能性的海洋中随意编织对世界的认识；因为未知的可能性无穷无尽且相互矛盾，如果承认这种行为，那就可以任意地描述世界，而种种描述之间肯定是无法调和无法相容的，这单单从逻辑上来说就无法说通。 <br>\n<br>\n简单来说，有可能没有直接的证据证明这些事物的谬误；但重要的是，更加没有任何证据来说明这属于巨大的可能性的海洋中那有效的一小点。 <br>\n <br>\n <br>\n<h4><strong>参考资料： </strong></h4>\n[1] <a href=""http://www.guokr.com/article/9367/"">无法证伪的理论就是耍流氓</a>，奥卡姆剃刀，果壳网谣言粉碎机<br>\n[2] <a href=""http://www.guokr.com/article/5238/"">“算命”为什么听上去这么准？</a>弯兔123，果壳网谣言粉碎机<br>\n \n	</div>\n</div>","传说轶事"
"打雷时冲凉洗澡可能遭雷击","不宜在室外雷电交加时冲凉洗澡，因为雷电有可能会沿着水流袭来。 ","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	<h2><strong>有案例，但十分罕见</strong></h2>\n雷雨天时，落在地面住宅附近的电击会使地下的金属输水管带电。一般家用的管道在一次电击后就可以带上大量电荷。当人在雷雨天淋浴时，从管道中流出的水就会带电，导致人触电。 <br>\n <br>\n由于只有在这种特定时间淋浴或者泡澡甚至洗碗才会造成触电，因此这类事故并不是十分常见。不过依然有一些案例可供参考： <br>\n <br>\n2008年5月，美国堪萨斯州一位15岁的少年在淋浴时被闪电击伤； <br>\n2007年11月，英国布兰佛德一位少女在洗头时被闪电击伤； <br>\n2006年10月，克罗地亚一位女士在刷牙时被闪电击伤； <br>\n2001年6月，英国一位女士在雷雨天沐浴，结果被被带电的浴盆击倒； <br>\n <br>\n<h2><strong>避雷针，并不能</strong><strong>100%可靠</strong></h2>\n作为早期电学研究中的第一个有重大应用价值的技术成果，避雷针的作用是毋庸置疑的：用金属线与埋在地下的一块金属板连接起来，利用金属棒的尖端放电，使云层所带的电和地上的电逐渐中和，从而降低事故的发生率。基本原理是把闪电从保护物上方引向自己并安全地通过自己泄入大地，极大的降低了闪电直接击落在建筑物上或附近地面的概率，从而可以有效地避免如流言描述中“随水而来”的情况发生。<br>\n <br>\n但是，这种方式也不能绝对地保证建筑物内事物的安全。由于避雷针都有一个有效地保护区域（20m-60m不等），曾经有过落雷击中范围外的电话线等从而引来电流导致室内电器报废的事例。[2] <br>\n <br>\n因此，尽管有避雷针的存在，我们还是应该尽可能地做好防雷措施来提高室内的安全系数。那么雷雨天在室内该如何防范雷电伤人事故呢？有以下6点需注意： <br>\n <br>\n1. 远离窗户，因为闪电有可能通过窗户上的缝隙进入屋内； <br>\n2. 不要淋浴、泡澡、刷牙、洗碗，不要靠近输水管； <br>\n3. 不要使用固定电话，使用手机作为替代。固定电话是雷雨天造成室内电击的第一大原因。 <br>\n4. 不要躺混凝土地面上，也不要靠在混凝土墙面上； <br>\n5. 不要触摸电气设备或者电线，包括冰箱或者炉子； <br>\n6. 关闭室内门窗 <br>\n <br>\n<h4></h4>\n<h4><strong>参考资料：</strong><strong> </strong></h4>\n[1] <a href=""http://www.snopes.com/science/lightningbath.asp"">Bath Blast</a><br>\n[2] <a href=""http://society.nen.com.cn/system/2013/08/27/010754471.shtml"">http://society.nen.com.cn/system/2013/08/27/010754471.shtml</a><br>\n <br>\n <br>\n \n	</div>\n</div>","科学技术"
"在蝴蝶和飞蛾在破茧时帮它们把茧打破会使它们死亡","有人看到蝴蝶破茧的过程很辛苦，就去帮它把茧弄破，结果蝴蝶出来之后飞不了，不久就死翘翘了。","1","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	首先要更正一个问题，也是通常所说的蝴蝶和蛾的一个区别，就是蝴蝶化蛹是不结茧的（绢蝶除外，绢蝶的蛹外有一层很薄的丝茧），而蛾化蛹是结茧的。<br>\n<br>\n茧是昆虫在蛹期时，蛹外的椭圆形的丝质构造，蛾通常在地下或角落造茧，造完茧后才开始化蛹，茧相当于蛹的保护膜。<br>\n<br>\n蝶则是会在叶背或树枝上用一条丝将自己固定住，之后才开始蜕皮化蛹，不需要茧的保护 因为蛹是有一根丝固定的，所以说蝴蝶破茧这个说法本身就是有问题的。<br>\n<br>\n如果弄破茧人工饲养状态问题是不大的，只是蛹外层的保护膜；野外如果在土内造茧化蛹的蛾，仅仅是外层的茧破坏了内部的蛹没有被破坏问题不大，如果是蛹被破坏了 那肯定是会导致羽化出问题的。如果羽化畸形，那就意味着失去了正常的活动能力离死亡也不远了。还有个蛹壳的问题补充一下，如果是羽化中，尤其是中后期人为剥开蛹壳，会干扰它们的羽化过程，受到的影响视它们的羽化程度而定，也存在个体差异但总体是会受到影响的 。有些会羽化失败，比如说翅展的不完全 ，羽化失败不等于死相当于残疾人，死亡风险增大。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/180651/"">如果在蝴蝶和飞蛾在破茧时帮它们把茧打破会使它们死亡吗</a>，三蝶纪，果壳网问答\n	</div>\n</div>","科学技术"
"KTV话筒漏电会致死","“一女生在一KTV唱歌倒地 疑因话筒漏电致死”同学去唱歌，出门在外都要注意了！！","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	KTV一般都是动圈或者驻极体的话筒，或者更高级的有无线的。无线的电池电压从3V~9V不等，不可能再高。动圈本身是被动工作器件，有声音才会产生很微小的电压信号。驻极体的话，偏压才不过1.5V而已。<br>\n <br>\n幻象电源是电容话筒用的，比较高级，KTV一般不会用这种话筒，录音室里面才能看见，而且都是硬开关切换的，平时能因为故障接通的概率为0。而且很重要的，48V是悬浮的，和地线没有关系，对人体不造成压降。<br>\n <br>\n就算是因为接地原因导致的地线漏电，也只是110V左右的电压，而且因为人体阻抗的原因，最多感觉到手麻麻的，不会致死。<br>\n <br>\n这些有线话筒的外壳一般都是悬空或者接地的，如果内部有高电压对地，保险丝应该是先一步断掉的，瞬间的事情，只有很低电流的漏电才会绕过保险丝的保护，但是内阻也大了，输出电流很小，对人没太大影响，会感觉麻麻的。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/176996/"">话筒漏电真的致死么</a>，fu-80，果壳网问答\n	</div>\n</div>","科学技术"
"向火里添加液体燃料很危险","烧烤店，桌前的大二女生瞬间被大火包围，严重烧伤（下图）。只因服务员误操作将酒精液体加入未熄灭的炉子。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	如果有人还不理解实验室操作中严禁酒精灯借火的原因，看看这个案例就知道了。<br>\n<br>\n向还在燃烧的炉火中倾倒添加诸如酒精这类液体燃料是极其危险的行为。可燃液体会被迅速点燃并，倒着烧回容器。对于易挥发的酒精来说，其容器中空着的部分其实不空，而是充满着接近饱和的酒精蒸汽，被点燃后发生爆燃，将更多点燃的酒精喷出。这就是为什么喷出一团火球的原因。<br>\n<br>\n所以一些启示就是：切勿向尚未熄灭的炉子中倾倒液体燃料。如果在实验中有一些步骤必须这么操作，那么一定要做好安全措施并保持距离。<br>\n<br>\n<h4><strong>内容来源</strong></h4>\n<a href=""http://www.guokr.com/question/576036/"">吃烧烤被烧伤，有哪些教训可以吸取？</a>fengfeixue0219，果壳网问答\n	</div>\n</div>","科学技术"
"藏獒单挑可以打过老虎狮子","藏獒是具有高智慧的生物，并且战斗力也很高，老虎狮子在它面前毫无胜算。","新","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	主要狮子没有老虎好斗，即使是体型小的中南亚老虎也很厉害领地意识强，狮子是群居动物，捕猎都喜欢集体作战来着，藏獒的咬合能力估计老虎的1/3不到，毫无胜算，对付一般猛犬罗威纳之类也比较吃力，狗狗101上介绍狗对藏獒的描述归纳只有血统原始可以拿来杂交培育新种，也因此容易患上多种疾病，在中国价格昂贵，都没有推荐饲养的。<br>\n<br>\n<a href=""http://www.guokr.com/post/97907/"">http://www.guokr.com/post/97907/</a>\n	</div>\n</div>","传说轶事"
"肌肉也有记忆","如果 长期做某个动作我们以后再做时不通过大脑也能顺利完成，这就是肌肉记忆。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	关于所谓“肌肉记忆”的现象，运动生理学和运动心理学中均有论述，俗称动作定型，学术点儿叫动力定型。<br>\n<br>\n动力定型是指一种由固定程序的条件作用建立的暂时联系系统，即条件反射系统。它是巴甫洛夫学说中的一个概念。在这一种系统内各个条件刺激按严格的序列和时间呈现，即用一系列刺激的定型形式获得这种系统中的每个刺激的确切而不变的效果，最后的结果就是在大脑皮质的活动中建立的一种动力定型。<br>\n<br>\n巴甫洛夫的动力定型的概念，为心理学研究习惯和熟练技巧的养成提供了生理学的说明。动力定型形成后可以大大节省我们的脑力和体力上的消耗，减轻我们的负担而提高功效。人们在生活中养成的习惯、技能以及生活方式等等，在生理机制上都是动力定型的建立。<br>\n<br>\n身体外边和内部的条件刺激，依一定的顺序不变地重复多次后，大脑皮质上的兴奋和抑制过程在空间和时间上的关系固定下来，这就是动力定型。此时神经通路变得更通畅，因而条件反射的出现愈来愈恒定和精确，而且时间本身和前面的一种活动，都成为条件一般途径，使神经细胞能以最经济的损耗而收到最大的工作效果。一切技能和习惯的训练与培养就是动力定型的形成过程。<br>\n<br>\n随着运动技能的巩固和发展，暂时练习达到非常巩固的程度以后，动作即可出现自动化现象。所谓自动化，就是练习某一套技术动作时，可以在无意识的条件下完成。也就是说，运动技能动作经过动力定型之后，会形成动作的自动化。<br>\n<br>\n“肌肉记忆”是不够规范的说法，在运动训练中经常会有类似不够规范而又约定俗成的说法，比如跳水运动员会提到“空间感”如何如何，实际上是指“空间知觉”。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/471176/"">真的有肌肉记忆吗</a>，水鸟千斩翼，果壳网问答\n	</div>\n</div>","科学技术"
"橘子皮挤出的汁能引爆气球","网上流传“橘子皮能引爆气球”的说法，称吃橘子时，只要溅出一点汁液到气球上，气球会瞬间爆炸。通过实验发现，橘子、柠檬皮的汁液，确实能引爆气球。提醒家长们别让孩子吃橘子时玩气球，以免发生危险。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	橘子皮的油脂腺里含有柠檬烯这种有机溶剂，将挤出的液体滴到气球上会溶解橡胶。膨胀的气球很薄很均匀，就像钢化玻璃一样，应力也很均匀（更像肥皂泡），而柠檬烯溶解了某一小面积的橡胶表面，破坏了气球的受力平衡，就会产生针刺效果。 <br>\n <br>\n<h4><strong>参考资料</strong></h4>\n[1]<a href=""http://www.guokr.com/question/388444/"">桔子皮为什么能让气球破？ </a>北风白月，果壳网果壳问答\n	</div>\n</div>","科学技术"
"人在失重环境下会骨质流失","在太空飞行中，宇航员骨骼损失和肌肉退化的速度，比地球上患有骨质疏松症的病人快10倍。在失重环境中每逗留一个月，人的骨质会损失约2%，而骨骼疏松患者如每年损失4％就算是重症病人了。因此如果真的要前往火星，宇航员必须在旅途中坚持空中锻炼以减缓骨质疏松进程。更糟糕的是，探险者返回地球后所损失的骨质不能完全恢复，无论花多长时间锻炼也做不到痊愈。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	骨质流失是指骨中的矿物质流失。失重引起的矿物质丢失主要表现在钙排出增多，就是骨中的钙跑到了血、尿、甚至粪中。<br>\n<h2><br>\n<strong>航天中骨质流失可能会引起的危害</strong></h2>\n<ol><li>骨质疏松，易引起骨折。</li><li>由于脱钙，肌肉功能下降。</li><li>血和尿中钙的成分如果过高可能引起肾结石或尿结石，特别是长时间航天。</li><li>由于体内电解质成分改变，影响内环境的平衡，神经传导受到影响，凝血发生障碍等。</li></ol>\n<br>\n但到目前为止，在实际情况下尚未发生上述事件，因为现在的航天时间不算太长。但未来，人类若飞行到其他行星，飞行时间过长，就有可能发生上述问题。<br>\n<br>\n<h2><strong>失重引起骨质丧失的机制</strong></h2>\n目前为止，失重引起骨质丧失的机制尚不是十分清楚。现有的研究解释起来也相当复杂，简单说一下。骨内可以发生震荡电位，其大小同引起变形的作用力相对应。储存正电位处可以引起骨组织消散。失重时，作用于骨骼的外力大为减少，骨组织电活动性下降，可能发生部分骨组织因养分供应不足而死亡。在电信号减少或完全消失部位，引起破骨细胞的聚集和骨组织的破坏，导致骨结构的变化和钙的丢失，骨密度随之降低。<br>\n<br>\n<h2><strong>预防措施</strong></h2>\n<ol><li>航天时加强体育锻炼。体育锻炼的目的是增加骨骼和肌肉的负荷。</li><li>改善饮食结构。补充维生素D、补钙、同时补磷。</li><li>电刺激法。在外部加电流，使骨骼内部产生内源性电流，刺激骨生长。</li><li>人工重力。在航天器内加一小型旋转装置，产生惯性离心力，形成人工重力环境。但当前的人工重力技术尚未达到实际应用的水平。</li></ol>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/467212/"">人在失重或者低重力环境中为什么会骨质流失呢</a>，薛定谔的小熊，果壳网问答\n	</div>\n</div>","科学技术"
"动物园里的水獭能捞回游客落入水中的东西","英国一个海豹动物保护区里有一只水獭.一天，在游客正在用手机给它拍照时，不小心手机掉到了水里。这","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	这事儿发生在动物园是很正常的。<br>\n<br>\n这些动物被训练过，为了减少管理员的劳动强度，又为了避免动物玩耍或吞食异物，工作人员大多喜欢训练这些动物把游客掉进去的东西主动叼回来。像手机这种对它们来说可是熟练工了，因为经常有游客或工作人员不小心手机掉水里，不过已经迟了，进水了。<br>\n<br>\n它们经过训练可以给你叼鲜花。<br>\n<img src=""https://2-im.guokr.com/FCXjDdMCM-O998LUp0k6GIu1wVQn5C5Mm4UJHkc3ZdRdAgAAygEAAEpQ.jpg?imageView2/1/w/480/h/363"" style=""max-width: 480px"" data-orig-width=""605"" data-orig-height=""458"" data-hashkey=""FCXjDdMCM-O998LUp0k6GIu1wVQn5C5Mm4UJHkc3ZdRdAgAAygEAAEpQ""><br>\n<br>\n<br>\n<h4><strong>内容来源</strong></h4>\n<a href=""http://www.guokr.com/question/578840/"">水獭为什么会捞手机还给人送回去？</a>粗人，果壳网问答<br>\n<br>\n\n	</div>\n</div>","科学技术"
