"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"新型冠状病毒会不会感染猫狗？","","","不会","会","不知道","可能会","0","知识官崔尚金老师：<span>尚未有证据表明新型冠状病毒可以感染猫狗。新型冠状病毒溯源研究显示，新型冠状病毒来源于野生动物。当前尚无证据表明猫狗可以感染新型冠状病毒，但还是要防患于未然，加强管理，从严防疫。</span>",""
"当前新型冠状病毒感染的肺炎疫情严峻，适合在室外遛狗吗？","","","适合","不适合","尽量减少户外遛狗","无所谓","2","知识官崔尚金老师：<span>为了配合新型冠状病毒感染防疫要求，应当减少户外遛狗活动，减少猫狗与流浪猫狗接触的机会。这不仅仅是对宠主的一种保护，也是对犬猫的一种保护。</span>",""
"为预防宠物冠状病毒感染，下列做法不正确的是？ ","","","避免带去宠物集中场所","及时清洁宠物食具、粪便","外出回家直接拥抱宠物","在家多增加宠物运动量","2","知识官崔尚金老师：<span>疫病发生期间，应尽量减少宠物外出，维持良好的居家环境，及时清洁食具与粪便。并增加宠物运动量，进而增强其免疫力。主人外出回家后，应在换鞋、换衣服、清洁手部后再抚摸、拥抱宠物。</span>",""
"用消毒剂定期对宠物活动区域进行消毒,下列哪种消毒剂消毒效果不明显？","","","75%酒精","1%新洁尔灭","5%过氧乙酸","0.2%去氧胆酸钠溶液","1","知识官崔尚金老师：<span>日常应定期对宠物器具及活动场所进行消毒，消毒时要注意消毒剂的有效浓度。1%新洁尔灭对冠状病毒消毒效果不明显，但高于该浓度就具有良好的消毒效果。除此之外，75%酒精、5%过氧乙酸、0.2%去氧胆酸钠溶液等脂溶性消毒剂对病毒都有良好的消毒效果。</span>",""
"养猫、狗等宠物的家里消毒不应该使用：","","","氯已定类消毒剂 ","0.2%-0.5%的过氧乙酸消毒液","75%的乙醇","0.2%-0.5%的84消毒液","0","知识官崔尚金老师：<span>氯已定类消毒剂对冠状病毒基本无效。</span>",""
"为预防宠物感染冠状病毒，下列对饮食方面采取的措施不合理的是：","","","宠物粮中加入适当的蔬菜","补充多种维生素","加入适当的微量元素添加剂","大大增加肉、奶的比例","3","知识官崔尚金老师：<span>冠状病毒主要引起宠物胃肠道疾病，呕吐、腹泻等。同时容易和其他传染病，如犬细小病毒、猫泛白细胞减少症病毒同时感染，引起免疫力下降，因此应在日粮中适当加入蔬菜，补充多种维生素，加入适当的微量元素来增加机体免疫力。尽量减少肉、奶的比例，避免增加肠胃负担，诱发病毒感染。</span>",""
"猫感染的冠状病毒所引起的疾病是哪个？","","","猫瘟 ","猫传染性腹膜炎","猫肝炎 ","猫肺炎","1","知识官崔尚金老师：<span>猫传染性腹膜炎又称猫冠状病毒病，是由猫传染性腹膜炎病毒引起的猫及猫科动物的一种多系统性血管炎。该病传染率高，一般认为是经口鼻感染。携带病毒猫可由粪便排毒，经粪便可传播给同居的猫;少数可经衣服、器具、人等机械途径传染。</span>",""
"下列哪个说法是正确的？","","","犬冠状病毒是DNA病毒","犬冠状病毒可以传染人","犬冠状病毒不能使人患病","犬冠状病毒引起犬肺炎","2","知识官崔尚金老师：<span>犬冠状病毒和新型冠状病毒一样，也是RNA病毒，但他不能在人类之间传播。</span>",""
"猫传染性腹膜炎病毒，又称为猫肠道冠状病毒，该病毒感染哪个年龄段的猫最多？","","","小于1岁","2~5岁","5~10岁","10岁以上","0","知识官崔尚金老师：<span>猫传染病腹膜炎病毒可以感染各种年龄的猫，常见于0.5~5岁的猫，其中小于1岁猫的病例占多数。</span>",""
"为了有效应对此次新型冠状病毒感染，下列情况不正确的是：","","","在家做好卫生清洁、消毒 ","给宠物喂食生肉","在外做好防护，戴口罩","及时消毒，以免交叉感染","1","知识官崔尚金老师：<span>生肉中可能携带大量的细菌病毒，可能会造成不必要的感染或疾病的发生，在日常的宠物饮食中，应该喂食熟食和宠物专用粮。</span>",""
