"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"看到好多人聚在一起或不戴口罩，哪种看法比较可取：","","","很多人在做的就是对的","空气清新，是安全的","别人都这样做，也不代表没事","","2","知识官高松老师：<span>多数人做的，并不等于是真理，相信自己的理性，不要盲目从众</span>",""
"在商场里，觉得口罩闷，我可以：","","","他们都戴了，我不戴没事","不要摘，万一有人跟我一样想","有危险的人肯定都被监管起来了","","1","知识官高松老师：<span>侥幸心理让多少人中了招</span>",""
"对新型冠状病毒疫情感到很恐慌是不是正常心理?","","","不正常","正常","不知道","","1","知识官高松老师：<span>人自然畏惧不够熟悉的事物，越清楚地了解，越有助于消除恐慌</span>",""
"什么样的心理状态对于抵抗疫情有帮助？","","","绷紧神经，战战兢兢","无所谓，反正身边人没感染","做好一切防护，该干嘛干嘛","","2","知识官高松老师：<span>疏忽则可能酿成事故，而焦虑不会对任何事情有帮助</span>",""
"怎么做对缓解焦虑是无效的？","","","随时都注意身上哪里不对","与亲友沟通谈心","转移注意力","","0","知识官高松老师：<span>太过紧张，甚至会产生有病的幻觉，按医学标准自我诊断就好了。</span>",""
"疫情期间，发现自己情绪低落，容易紧张，最好怎么办？","","","室内运动","睡觉","看手机分散注意力","","0","知识官高松老师：<span>运动直接改善心境。也可以找些积极的事来做</span>",""
"关于身体与心理间的关系，哪个理解不正确：","","","身体状态影响心理状态","心理状态影响身体状态","二者各自独立，没有关系","","2","知识官高松老师：<span>身心本是一体，适当锻炼不仅增强免疫，同时会改善心境</span>",""
"吃东西能缓解情绪焦虑吗？","","","能","不能","能是能，但不健康","","2","知识官高松老师：<span>吃东西催生多巴胺缓解焦虑，但也催生肥胖。提醒你，下次可能会对肥胖产生焦虑哦</span>",""
"哪种方式对缓解无聊压抑的帮助最小？","","","室内运动","睡觉","把心情感想与朋友分享","","1","知识官高松老师：<span>保持不动其实是无聊压抑状态的催化剂，除非真的睡眠不足</span>",""
"什么方式对失眠没有疗效？","","","放轻音乐","听催眠冥想","告诉自己失眠有严重后果","","2","知识官高松老师：<span>关注能放松的东西，不关注加重紧张的东西</span>",""
"家人在疫区，我爱莫能助，很担忧怎么办？","","","相信永远都这么糟","允许担忧存在，同时深呼吸放松","设法不要想","","1","知识官高松老师：<span>感受担忧感同时练习放松，最后会感觉适应</span>",""
"怎样劝慰因为疫情紧张焦虑的朋友？ ","","","劝说“你要想开”","告诉ta自己为什么不紧张","静静倾听","","2","知识官高松老师：<span>最好的纾解是倾听</span>",""
