"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_img"
"84消毒液喷洒空气可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>84消毒液用于物体表面的消毒，并且要达到一定的浓度才能取得好的效果。",""
"95%的酒精消毒液可以预防新型冠状病毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以用于针对新型冠状病毒的消毒，95%的酒精会凝固病原体表面的蛋白质，形成“盔甲”，反而不容易杀死病毒。",""
"白醋加热雾化有消毒预防效果？","","","有","没有","","","1","正确答案：B 没有。<br/>针对新型冠状病毒目前只推荐56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等消毒的方法。",""
"白醋煮沸可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>醋中的主要成分是醋酸，也就是乙酸。过氧乙酸是可以杀灭新型冠状病毒的，但乙酸不是过氧乙酸，这是不同的两种物质。",""
"超市或者药店买的含氯消毒液可以消毒新型肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯消毒液是可以杀灭新型状病毒的，但要达到一定的浓度。",""
"吃东西能缓解情绪焦虑吗？","","","能","不能","能是能，但不健康","","2","知识官高松老师：<span>吃东西催生多巴胺缓解焦虑，但也催生肥胖。提醒你，下次可能会对肥胖产生焦虑哦</span>",""
"持续人传人的特点是：","","","很容易形成流行"," A传给B，B可以传给C ","病毒传染力强","以上都对","3","正确答案：D 以上都对<br/>持续人传人指的是病毒可以连续传几代，比如A传给B，B又传给C，C又传给D，这意味着病毒传播能力比初期的动物传人、人传人更强，感染人数呈指数增加，很容易形成传染病流行。",""
"春节回家如何让自己旅途更为安全？","","","避开经过武汉的列车","出行佩戴N95口罩","旅途自带免洗洗手液勤洗手","以上都对","3","正确答案：D 以上都对<br/>知识官阿源老师：目前主要的感染者集中在武汉地区，因此避开经过武汉的列车可以有效降低风险；出行佩戴 N95 口罩是有效的预防手段；旅途自带免洗洗手液，在接触口、眼、鼻之前，吃饭之前、上厕所之后洗手，均可减少自己的感染风险。",""
"从什么地方获得的心理支持最专业？","","","亲友聊天","拨打心理求助热线","自己上网看","","1","知识官高松老师：<span>非常难捱时就及时打。不是很难捱时，亲友聊天或做些转移注意力的事缓解一下</span>",""
"打喷嚏时，正确的做法是：","","","头扭向一边","用手捂住口鼻","用纸巾或者手肘捂住口鼻","想打就打","2","正确答案：C 用纸巾或者手肘捂住口鼻<br/>知识官阿源老师：打喷嚏时，我们需要防止飞沫传播，只有用手肘和纸巾才能完全捂住口鼻，此时方向也应该避开他人。",""
"当听说所在城市出现病例时，最保险的做法是：","","","正常过年、聚会","紧闭门窗，防止病毒侵入","尽量不外出，外出佩戴口罩","马上逃离，去其他城市","2","正确答案：C 尽量不外出，外出佩戴口罩<br/>知识官阿源老师：避免到人群密集的地方，及出门佩戴口罩可以明显的降低感染风险；而为了提升室内空气质量，应该选择通风；聚会或到其他城市，都有可能到人群密集的地方，而导致风险升高。",""
