"ques","flag","img","item__001","item__002","item__003","item__004","ans","tip","tip_ig"
"电吹风对着吹三十秒可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒对热敏感，但需要在56摄氏度下，30分钟，才能灭活，所以这种说法是错误的。",""
"84消毒液喷洒空气可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>84消毒液用于物体表面的消毒，并且要达到一定的浓度才能取得好的效果。",""
"点艾灸可以消毒杀菌？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>新型冠状病毒感染的肺炎诊疗方案(试行第三版)中明确指出新型冠状病毒对热敏感，56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等脂溶剂均可有效灭活病毒。并没有关于艾灸的推荐，所以是不可以的。",""
"紫外线消毒灯可以杀灭新型冠状肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以。<br/>北京市关于呼吸道传播性疾病（新型冠状病毒感染的肺炎）环境清洁消毒建议（试行）指出:病人检查后，感染疾病科医生或护士指导，检查床及周围表面使用消毒剂喷雾消毒，作用30min，技术员对控制台进行常规物表消毒；全体人员离开后，放射科技术员打开紫外线灯对检查室进行消毒，消毒时间>30min。",""
"用过的口罩可以直接用84消毒液浸泡消毒？","","","可以","不可以","","","1","正确答案：B 不可以。<br/>目前可以用于防护病毒的口罩是外科口罩和医用防护口罩，这几种口罩都是一次性的，遇到水后，防护效力就会减弱或消失，所以是不可以的。",""
"白醋加热雾化有消毒预防效果？","","","有","没有","","","1","正确答案：B 没有。<br/>针对新型冠状病毒目前只推荐56℃30分钟、乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿等消毒的方法。",""
"酒精放入加湿器，喷出的雾气可以进行房间消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，放入加湿器是达不到这样的浓度的。即使能达到也不主张应用，因为高浓度挥发的酒精会对人体的气管产生刺激，导致不良后果。",""
"超市或者药店买的含氯消毒液可以消毒新型肺炎病毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯消毒液是可以杀灭新型状病毒的，但要达到一定的浓度。",""
"在手上喷洒医用酒精可以起到消毒效果？","","","可以","不可以","","","0","正确答案：A 可以<br/>只限于75%的酒精可以杀灭新型冠状病毒。",""
"含氯消毒粉对新型冠状病毒有预防作用？","","","有","没有","","","0","正确答案：A 有<br/>含氯消毒粉是可以杀灭新型冠状病毒的，需要做成水剂使用，氯的有效浓度要达到400-700mg/L，主要用于地面和物体表面的消毒。",""
"双氧水消毒对肺炎病毒有用？","","","有","没有","","","0","正确答案：A 有<br/>双氧水是过氧化物的一种，对新型冠状病毒是有效的，但3%的双氧水通常用于伤口清洁，而不用于环境消毒。",""
"火碱能用来抗新型冠状病毒肺炎？","","","能","不能","","","1","正确答案：B 不能<br/>火碱成分为氢氧化钠，是强碱，具有强腐蚀性。可用于杀灭新型冠状病毒的化学消毒剂包括：乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿，并不包括氢氧化钠，所以是不可以的。",""
"花露水含有酒精，可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以杀灭新型冠状病毒，花露水中的酒精含量微乎其微，是不可以用于消毒的。",""
"可以用喝的白酒稀释替代酒精消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>酒精作为医用消毒剂是要达到一定的浓度的，只有达到特定的浓度才具有杀灭病毒的作用，白酒稀释很难达到标准的有效浓度。",""
"白醋煮沸可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>醋中的主要成分是醋酸，也就是乙酸。过氧乙酸是可以杀灭新型冠状病毒的，但乙酸不是过氧乙酸，这是不同的两种物质。",""
"盐水漱口可以消毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>口腔医学研究表明，不论是用清水、还是用盐水漱口，对暂时减少口腔细菌的数量是有效的。作用原理是通过漱口减少口腔中病原微生物的定植，而不是杀灭病原微生物。消毒是指杀死病原微生物、但不一定能杀死细菌芽孢的方法。",""
"风油精能杀菌消毒？","","","能","不能","","","1","正确答案：B 不能<br/>乙醚、75%乙醇、含氯消毒剂、过氧乙酸和氯仿是可以杀灭新型冠状病毒的，而风油精中没有有效杀灭病毒的成分。",""
"泡腾消毒片可以进行消毒？","","","可以","不可以","","","0","正确答案：A 可以<br/>含氯的泡腾消毒片是可以用于消毒的，它溶解于水中，配成一定浓度的消毒液是可以用于消毒的。",""
"95%的酒精消毒液可以预防新型冠状病毒？","","","可以","不可以","","","1","正确答案：B 不可以<br/>只有75%的酒精才可以用于针对新型冠状病毒的消毒，95%的酒精会凝固病原体表面的蛋白质，形成“盔甲”，反而不容易杀死病毒。",""
"如果要接触发热的人，下面哪个口罩最合适？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q13.png","海绵口罩","医用防护口罩","活性炭口罩","医用外科口罩","1","正确答案：B 医用防护口罩。",""
"下列哪个行为可以预防新型冠状病毒肺炎？","","","抽烟","喝板蓝根","戴口罩、勤洗手","服用达菲","2","正确答案：C 戴口罩、勤洗手<br/>知识官阿源老师：目前新型冠状病毒尚无针对性的药物，而抽烟不仅不能预防感染，还会降低人体免疫力.",""
"对于预防新型冠状病毒肺炎，下列哪个说法是错误的？","","","应当尽量少出门","避免去人群密集的地方","出门时需佩戴口罩","我身体好，没事的","3","正确答案：D 我身体好，没事的<br/>知识官阿源老师：新型冠状病毒作为新病毒，人类第一次接触，任何人都没抗体，人群普遍易感，身体好并不能降低感染几率。",""
"打喷嚏时，正确的做法是：","","","头扭向一边","用手捂住口鼻","用纸巾或者手肘捂住口鼻","想打就打","2","正确答案：C 用纸巾或者手肘捂住口鼻<br/>知识官阿源老师：打喷嚏时，我们需要防止飞沫传播，只有用手肘和纸巾才能完全捂住口鼻，此时方向也应该避开他人。",""
"下列哪个行为不可以预防新型冠状病毒肺炎？","","","打肺炎疫苗","宅在家里","打开门窗通风","将买来的肉、蛋煮熟再吃","0","正确答案：A 打肺炎疫苗<br/>知识官阿源老师：肺炎疫苗是针对肺炎球菌肺炎的疫苗，是细菌性肺炎；而新型冠状病毒肺炎是病毒性肺炎，肺炎疫苗并不具备预防作用。",""
"下列哪个不能有效消灭新型冠状病毒？","","","过氧乙酸","醋（乙酸）","浓度不低于75%的酒精","高温","1","正确答案：B 醋（乙酸）<br/>网上盛传熏醋可以杀灭病毒，其实是因为非典时使用了过氧乙酸而造成的误传。在家熏醋不能达到消毒的效果：一是过氧乙酸的消毒作用主要是因为其有强氧化性，而不是因为乙酸；二是醋里的乙酸浓度很低；三是醋会刺激人的眼睛、呼吸道，不利于健康。",""
"下列哪个行为可以预防新型冠状病毒肺炎?","","","张伯在路边和一群人看热闹","李伯去最热闹的公园健身","张阿姨乘坐公交赶早市","李婶出门戴口罩避开人群","3","正确答案：D 李婶出门戴口罩避开人群。",""
"小红到武汉旅游了一趟，她最长需要观察多少天才能排除感染呢？","","","3天","7天","14天","30天","2","正确答案：C 14天<br/>知识官阿源老师：国家卫健委专家组成员高占成21日晚接受《新闻1+1》采访时表示，目前病毒的潜伏期，从现有病例来看，平均是7天左右，短的2到3天，长的14天。",""
"下列哪个行为感染新型冠状病毒的风险最低：","","","去武汉旅游","与患者亲密接触","从武汉回家","哪儿也不去，待在家里","3","正确答案：D 哪儿也不去，待在家里。",""
"哪个场景不属于和新型冠状病毒肺炎患者亲密接触？","","","与患者曾经同坐一辆车","与患者一起吃过饭","与患者是同一办公室同事","曾远远地看患者上救护车","3","正确答案：D 曾经远远地看见患者上救护车。",""
"哪个是新型冠状病毒肺炎的常见症状？","","","发热（体温≥38℃）","呼吸急促、咳嗽","浑身乏力","以上都是","3","正确答案：D 以上都是。",""
"下列哪个不是新型冠状病毒肺炎的常见症状？","","","休息或日常活动时呼吸困难","腹泻","皮疹","感冒好转后，情况突然恶化","2","正确答案：C 皮疹<br/>据《新型冠状病毒肺炎诊疗快速指南》，该肺炎起病以发热为主要临床表现，可合并轻度干咳、乏力、呼吸不畅、腹泻等症状，流涕、咳痰等其他症状少见。如果出现感冒好转后，情况突然恶化，也需要警惕。",""
"哪个口罩可以预防新型冠状病毒肺炎？","","https://mat1.gtimg.com/news/zt2020/2020wuhan/images/q12.png","纸口罩","棉布口罩","活性炭口罩","医用外科口罩","3","正确答案：D 医用外科口罩。",""
"一个口罩能用几次？","","","1次","2次"," 3次","4次","0","正确答案：A 1次",""
